ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
23531223;49.1;51.2;0;0;0;-75;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.111;0;61;0;-0.006;23527430;1.0507;0.1279;51.1367;6.3602;0.917;436.24;0;0;0;3214.5;3255.12;1;23527431;0.0891299;0.338068;0.127721;-0.328372;-0.0909282;0.934052;0.503024;-0.235502;-0.0126788;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531315;49.1;51.1;0;0;0;-74.8;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.111;0;61;0;-0.006;23531224;1.0507;0.1279;51.1367;6.3602;0.918;436.707;0;0;0;3214.5;3255.12;1;23531226;0.0901079;0.338607;0.125083;-0.334394;-0.0904513;0.933812;0.557043;-0.113936;0.172949;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531376;49.1;51.1;0;0;0;-74;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.109;0;61;0;-0.006;23531316;1.0507;0.1279;51.1367;6.3602;0.918;436.717;0;0;0;3214.5;3255.12;1;23531316;0.0905724;0.338563;0.125237;-0.331318;-0.0923941;0.933925;0.383366;-0.235323;-0.0783172;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531435;49.1;51.1;0;0;0;-74.5;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.115;0;61;0;-0.006;23531376;1.0507;0.1279;51.1367;6.3602;0.918;436.724;0;0;0;3214.5;3255.12;1;23531377;0.0911523;0.33828;0.125426;-0.327642;-0.0953055;0.934097;0.0150968;-0.296486;-0.0314358;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531525;49.1;51.1;0;0;0;-74.5;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.113;0;61;0;-0.006;23531435;1.0507;0.1279;51.1367;6.3602;0.918;436.732;0;0;0;3214.5;3255.12;1;23531436;0.0915443;0.337978;0.125563;-0.329668;-0.0899395;0.934074;0.85735;0.12984;0.307215;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531615;49.1;51.1;0;0;0;-74.1;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.111;0;61;0;-0.006;23531525;1.0507;0.1279;51.1367;6.3602;0.918;436.742;0;0;0;3214.5;3255.12;1;23531526;0.09114;0.338274;0.125337;-0.32978;-0.0987365;0.933987;0.557043;-0.297041;0.172451;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531673;49.2;51.1;0;0;0;-74.3;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.111;0;61;0;-0.006;23531615;1.0507;0.1279;51.1367;6.3602;0.918;436.746;0;0;0;3214.5;3255.12;1;23531616;0.0917532;0.337864;0.125523;-0.325876;-0.0948307;0.934151;0.855026;-0.0534312;0.367707;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531764;49.1;51.1;0;0;0;-73.8;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.111;0;61;0;-0.006;23531674;1.0507;0.1279;51.1367;6.3602;0.918;436.755;0;0;0;3214.5;3255.12;1;23531677;0.092022;0.337718;0.125574;-0.323683;-0.0918839;0.934197;0.435062;-0.113924;0.168302;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531853;49.1;51.1;0;0;0;-74.1;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.111;0;61;0;-0.006;23531765;1.0507;0.1279;51.1367;6.3602;0.918;436.76;0;0;0;3214.5;3255.12;1;23531766;0.0921941;0.337663;0.125538;-0.329687;-0.0928705;0.934224;0.435062;0.00814623;0.168634;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
23531914;49.2;51.1;0;0;0;-74.6;0;0;0;0;0;0;1.0507;0.1279;51.1367;6.3602;626663;634583;151.119;0;61;0;-0.006;23531854;1.0507;0.1279;51.1367;6.3602;0.918;436.76;0;0;0;3214.5;3255.12;1;23531855;0.0925628;0.337294;0.125679;-0.326216;-0.0997028;0.934432;0.735368;0.129852;0.302567;23530999;-37.71096794;145.03608510;83.34905620;0.00000000;0.00000000;4.74623349;3.36122071;
